,StepCount,Kcal,Miles,Weather,Day,Walk,Steps,Weather(Modified to numeric),,,Day(Modified to numeric)
158,8064,154,4.5,shine,M,1,8.064,1,,,1
159,4932,48,2.7,shine,T,0,4.932,1,,,2
160,4518,76,2.5,shine,W,1,4.518,1,,,3
161,4301,87,2.4,rain,W,0,4.301,2,,,3
162,5297,120,2.9,rain,R,1,5.297,2,,,4
163,4287,115,2.4,rain,F,1,4.287,2,,,5
164,2432,7,1.3,rain,S,0,2.432,2,,,6
165,2264,11,1.2,shine,U,0,2.264,1,,,7
166,6789,178,3.7,shine,R,1,6.789,1,,,4
167,5196,28,2.9,shine,F,0,5.196,1,,,5
168,3642,84,2,rain,R,1,3.642,2,,,4
169,7796,231,4.3,rain,F,1,7.796,2,,,5
170,7576,276,4.2,shine,S,1,7.576,1,,,6
171,7797,133,4.3,shine,M,0,7.797,1,,,1
172,5026,116,2.7,shine,W,1,5.026,1,,,3
173,9404,312,5.2,rain,R,1,9.404,2,,,4
174,2759,24,1.5,rain,U,0,2.759,2,,,7
175,2142,48,1.1,shine,T,0,2.142,1,,,2
176,1279,14,0.6,shine,W,0,1.279,1,,,3
177,1265,18,0.6,shine,R,0,1.265,1,,,4
178,3160,56,1.7,shine,F,0,3.16,1,,,5
179,6872,236,3.8,rain,W,1,6.872,2,,,3
180,4636,172,2.6,shine,F,1,4.636,1,,,5
181,4718,40,2.6,shine,S,0,4.718,1,,,6
182,3002,19,1.6,cold,S,0,3.002,0,,,6
183,2751,16,1.4,cold,U,0,2.751,0,,,7
184,5572,186,3.1,cold,M,1,5.572,0,,,1
185,1861,10,0.9,cold,T,0,1.861,0,,,2
186,1215,13,0.6,cold,W,0,1.215,0,,,3
187,999,1,0.5,cold,R,0,0.999,0,,,4
188,674,0,0.3,cold,F,0,0.674,0,,,5
189,1659,7,0.9,cold,S,0,1.659,0,,,6
190,2067,21,1.1,cold,U,0,2.067,0,,,7
191,1869,30,1,cold,M,0,1.869,0,,,1
192,4609,32,2.5,cold,T,0,4.609,0,,,2
193,5397,38,3,cold,W,0,5.397,0,,,3
194,5041,140,2.7,shine,R,1,5.041,1,,,4
195,3229,23,1.8,shine,F,0,3.229,1,,,5
196,3052,17,1.6,cold,S,0,3.052,0,,,6
197,4909,36,2.7,cold,U,0,4.909,0,,,7
198,6334,159,3.4,cold,M,1,6.334,0,,,1
199,7138,246,3.9,cold,T,1,7.138,0,,,2
200,7090,228,3.9,shine,W,1,7.09,1,,,3
201,5747,12,3.2,shine,R,1,5.747,1,,,4
202,2399,2,1.3,shine,F,0,2.399,1,,,5
203,5396,35,3,cold,S,0,5.396,0,,,6
204,5169,135,2.9,cold,U,1,5.169,0,,,7
205,5951,145,3.3,cold,M,1,5.951,0,,,1
206,6250,188,3.4,cold,T,0,6.25,0,,,2
207,4718,124,2.6,cold,W,1,4.718,0,,,3
208,3961,48,2.2,shine,R,0,3.961,1,,,4
209,3615,53,1.9,shine,F,0,3.615,1,,,5
210,3226,21,1.8,shine,S,0,3.226,1,,,6
211,2706,16,1.4,shine,U,0,2.706,1,,,7
212,4271,82,2.3,cold,M,0,4.271,0,,,1
213,4055,83,2.2,cold,T,1,4.055,0,,,2
214,3849,96,2.1,cold,W,1,3.849,0,,,3
215,2409,11,1.2,cold,R,0,2.409,0,,,4
216,4790,108,2.7,cold,F,1,4.79,0,,,5
217,5501,112,3.1,cold,S,1,5.501,0,,,6
218,3686,78,2,cold,U,0,3.686,0,,,7
219,1691,0,0.9,cold,M,0,1.691,0,,,1
220,3713,102,2,cold,T,0,3.713,0,,,2
221,3903,120,2.1,cold,W,1,3.903,0,,,3
222,5772,115,3.2,cold,R,1,5.772,0,,,4
223,5443,135,3,cold,F,1,5.443,0,,,5
